run,timestamp,action,t_drift,t_revert,mttr_seconds,replicas_desired,replicas_after_drift,replicas_after_heal
1,2026-05-03T10:54:14+00:00,scale-down-by-1,1777805526.385954056,1777805652.138530850,125.75,3,2,3
2,2026-05-03T10:59:03+00:00,scale-down-by-1,1777805670.465902139,1777805943.280490829,272.81,3,2,3
3,2026-05-03T10:59:31+00:00,scale-down-by-1,1777805955.156486598,1777805970.813438086,15.66,3,2,3
